UNIQUE IDENTIFICATION,CODE,COMBINATION,INDIVIDUAL OFFER,QUANTITY,AQUISTION,REACTIVATION,RETENTION,TOTAL REDEMPTIONS,SALES,MARGIN,TICKET,MARGIN %,MARKDOWN 
102,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"14,551",3,5,85,93,"$6,303.38","$1,065.20",$67.78,16.9%,"$1,087.58"
238,8948G,10% OFF PURCHASE,10% OFF PURCHASE,"14,555",1,5,79,85,"$4,225.44","$1,354.34",$49.71,32.1%,$453.87
90,8957E,10% OFF PURCHASE / 25% OFF PETWASH OR GROOMING ADD ON,10% OFF PURCHASE,"14,562",0,0,20,20,"$1,112.60",$290.82,$55.63,26.1%,$123.25
90,8955S,10% OFF PURCHASE / 25% OFF PETWASH OR GROOMING ADD ON, 25% OFF PETWASH OR GROOMING ADD ON,"14,562",0,0,1,1,$121.50,$121.50,$121.50,100.0%,$12.50
4186,8961H,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,25% PETWASH OR GROOMING ADD ON,"14,594",0,1,1,2,$21.00,$21.00,$10.50,100.0%,$7.00
4186,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"14,594",0,6,67,73,"$3,655.23",$987.33,$50.07,27.0%,$546.59
4124,8957E,10% OFF PURCHASE / 25% OFF PETWASH OR GROOMING ADD ON,10% OFF PURCHASE,"14,644",2,1,33,36,"$1,961.55",$562.63,$54.49,28.7%,$214.81
4379,8961H,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,25% PETWASH OR GROOMING ADD ON,"14,707",0,0,1,1,$95.75,$95.75,$95.75,100.0%,$6.25
4379,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"14,707",0,1,75,76,"$5,093.86","$1,188.53",$67.02,23.3%,$908.09
4022,8948G,10% OFF PURCHASE,10% OFF PURCHASE,"14,721",0,4,16,20,"$1,043.76",$267.77,$52.19,25.7%,$118.12
4054,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"14,761",0,1,19,20,$950.98,$205.56,$47.55,21.6%,$163.73
4054,8961H,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,25% PETWASH OR GROOMING ADD ON,"14,761",0,0,1,1,$10.50,$10.50,$10.50,100.0%,$3.50
4054,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"14,761",0,3,33,36,"$1,892.52",$393.65,$52.57,20.8%,$290.22
4208,8960S,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF FULL SERVICE GROOM,"14,762",0,1,7,8,$428.03,$408.74,$53.50,95.5%,$119.23
4208,8956T,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF TOYS AND TREATS,"14,762",0,4,23,27,"$1,112.38",$332.72,$41.20,29.9%,$200.46
219,8961H,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,25% PETWASH OR GROOMING ADD ON,"14,779",0,0,3,3,$213.50,$213.50,$71.17,100.0%,$10.00
219,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"14,779",0,3,60,63,"$4,427.43",$788.01,$70.28,17.8%,$802.00
4377,8957E,10% OFF PURCHASE / 25% OFF PETWASH OR GROOMING ADD ON,10% OFF PURCHASE,"14,928",0,3,25,28,"$1,279.35",$323.69,$45.69,25.3%,$140.35
51,8961H,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,25% PETWASH OR GROOMING ADD ON,"14,932",0,0,7,7,$551.22,$547.41,$78.75,99.3%,$28.76
51,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"14,932",0,0,2,2,-$34.98,-$17.96,-$17.49,51.3%,-$5.00
51,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"14,932",0,2,74,76,"$4,666.38",$768.03,$61.40,16.5%,$907.10
7005,8956T,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF TOYS AND TREATS,"14,974",0,1,7,8,$401.48,$131.78,$50.19,32.8%,$44.24
4240,8948G,10% OFF PURCHASE,10% OFF PURCHASE,"15,070",0,0,1,1,$142.14,$28.68,$142.14,20.2%,-$3.20
4240,8948G,10% OFF PURCHASE,10% OFF PURCHASE,"15,070",0,1,23,24,"$1,364.84",$446.44,$56.87,32.7%,$144.59
4383,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"15,109",0,0,1,1,-$11.25,-$2.39,-$11.25,21.2%,-$3.75
4383,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"15,109",0,0,5,5,$281.51,$33.43,$56.30,11.9%,$43.13
4383,8961H,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,25% PETWASH OR GROOMING ADD ON,"15,109",0,1,1,2,$85.50,$85.50,$42.75,100.0%,$8.50
4383,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"15,109",0,0,29,29,"$1,927.28",$349.26,$66.46,18.1%,$338.71
4139,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"15,134",1,0,9,10,$427.97,$161.15,$42.80,37.7%,$40.59
4297,8948G,10% OFF PURCHASE,10% OFF PURCHASE,"15,159",0,0,1,1,$54.13,$25.87,$54.13,47.8%,-$1.05
4297,8948G,10% OFF PURCHASE,10% OFF PURCHASE,"15,159",0,0,14,14,$608.91,$152.50,$43.49,25.0%,$67.33
43,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"15,190",0,0,3,3,$192.65,$60.49,$64.22,31.4%,$25.67
233,8961H,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,25% PETWASH OR GROOMING ADD ON,"15,200",0,1,0,1,$65.25,$65.25,$65.25,100.0%,$8.75
233,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"15,200",0,0,8,8,$428.45,$116.62,$53.56,27.2%,$73.72
4009,8958H,10% OFF PURCHASE / 50% OFF PETWASH,10% OFF PURCHASE,"15,277",0,0,1,1,$4.92,-$5.83,$4.92,-118.5%,-$1.90
4009,8958H,10% OFF PURCHASE / 50% OFF PETWASH,10% OFF PURCHASE,"15,277",0,2,68,70,"$3,519.65",$907.12,$50.28,25.8%,$390.22
4009,8961E,10% OFF PURCHASE / 50% OFF PETWASH,50% OFF PETWASH,"15,277",0,0,1,1,$8.00,$7.45,$8.00,93.1%,$7.00
4227,8961H,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,25% PETWASH OR GROOMING ADD ON,"15,341",0,0,6,6,$332.58,$322.67,$55.43,97.0%,$35.00
4227,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"15,341",1,1,26,28,"$1,940.63",$341.77,$69.31,17.6%,$364.90
4040,8961H,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,25% PETWASH OR GROOMING ADD ON,"15,358",0,1,1,2,$82.12,$82.12,$41.06,100.0%,$6.38
4040,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"15,358",2,3,73,78,"$4,710.59",$903.63,$60.39,19.2%,$920.94
4002,8956T,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF TOYS AND TREATS,"15,386",0,1,20,21,$812.24,$276.31,$38.68,34.0%,$143.17
4592,8959T,10% OFF FOOD & LITTER / 25% OFF PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER,"15,473",0,1,4,5,$206.77,$64.67,$41.35,31.3%,$56.74
7016,8956T,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF TOYS AND TREATS,"15,509",0,0,1,1,$100.52,$28.81,$100.52,28.7%,$11.87
4573,8959T,10% OFF FOOD & LITTER / 25% OFF PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER,"15,600",4,0,12,16,$617.38,$139.88,$38.59,22.7%,$89.73
136,8959T,10% OFF FOOD & LITTER / 25% OFF PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER,"15,605",0,0,3,3,$30.91,-$33.31,$10.30,-107.8%,-$20.75
136,8959T,10% OFF FOOD & LITTER / 25% OFF PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER,"15,605",4,11,101,116,"$5,958.43","$1,619.11",$51.37,27.2%,"$1,146.67"
136,8962Z,10% OFF FOOD & LITTER / 25% OFF PETWASH OR GROOMING ADD ON,25% OFF PETWASH OR GROOMING ADD ON,"15,605",0,0,3,3,$105.90,$83.87,$35.30,79.2%,$10.50
8033,8956T,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF TOYS AND TREATS,"15,660",0,4,11,15,$451.96,$137.55,$30.13,30.4%,$85.62
4273,8956T,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF TOYS AND TREATS,"15,676",0,0,3,3,$54.53,$26.74,$18.18,49.0%,$7.75
4374,8948G,10% OFF PURCHASE,10% OFF PURCHASE,"15,712",1,3,46,50,"$2,380.38",$682.54,$47.61,28.7%,$265.70
4548,8959T,10% OFF FOOD & LITTER / 25% OFF PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER,"15,713",0,0,13,13,$530.94,$72.95,$40.84,13.7%,$70.69
4108,8948G,10% OFF PURCHASE,10% OFF PURCHASE,"15,715",0,0,27,27,"$1,149.16",$277.20,$42.56,24.1%,$128.29
4215,8960S,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF FULL SERVICE GROOM,"15,726",0,1,0,1,$74.75,$74.75,$74.75,100.0%,$23.25
4215,8956T,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF TOYS AND TREATS,"15,726",1,2,9,12,$443.05,$152.33,$36.92,34.4%,$81.02
4235,8956T,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF TOYS AND TREATS,"15,753",0,0,1,1,-$6.73,-$2.95,-$6.73,43.8%,-$2.25
4235,8956T,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF TOYS AND TREATS,"15,753",0,1,3,4,$181.25,$122.95,$45.31,67.8%,$13.35
9028,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"15,760",0,0,5,5,$238.01,$68.91,$47.60,29.0%,$30.80
4364,8956T,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF TOYS AND TREATS,"15,788",0,0,2,2,$63.91,$23.76,$31.96,37.2%,$20.73
4557,8961H,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,25% PETWASH OR GROOMING ADD ON,"15,873",0,0,3,3,$162.66,$145.10,$54.22,89.2%,$12.00
4557,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"15,873",0,4,43,47,"$2,698.89",$463.39,$57.42,17.2%,$473.01
4493,8956T,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF TOYS AND TREATS,"15,887",0,0,1,1,$34.82,$10.23,$34.82,29.4%,$6.11
4512,8948G,10% OFF PURCHASE,10% OFF PURCHASE,"15,901",1,3,41,45,"$2,423.31",$553.40,$53.85,22.8%,$283.64
9013,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"15,964",0,1,16,17,"$1,228.26",$166.55,$72.25,13.6%,$257.93
4286,8958H,10% OFF PURCHASE / 50% OFF PETWASH,10% OFF PURCHASE,"15,966",3,5,70,78,"$3,752.39","$1,044.45",$48.11,27.8%,$416.25
4286,8961E,10% OFF PURCHASE / 50% OFF PETWASH,50% OFF PETWASH,"15,966",0,1,1,2,$14.00,$14.00,$7.00,100.0%,$14.00
4293,8946B,$10 OFF $60,$10 OFF $60,"15,968",0,0,1,1,$61.17,$4.99,$61.17,8.2%,-$0.91
4293,8946B,$10 OFF $60,$10 OFF $60,"15,968",0,0,19,19,"$1,371.53",$379.75,$72.19,27.7%,$190.01
190,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"15,976",0,1,5,6,$667.18,$188.94,$111.20,28.3%,$113.06
190,8961H,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,25% PETWASH OR GROOMING ADD ON,"15,976",0,0,1,1,$10.50,$10.50,$10.50,100.0%,$3.50
190,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"15,976",0,0,1,1,-$21.58,-$7.25,-$21.58,33.6%,-$2.40
190,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"15,976",0,1,38,39,"$3,069.73",$407.11,$78.71,13.3%,$562.65
4053,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"15,993",0,0,36,36,"$2,142.12",$411.27,$59.50,19.2%,$406.49
4482,8960S,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF FULL SERVICE GROOM,"16,007",0,2,3,5,$479.73,$475.19,$95.95,99.1%,$109.75
4482,8956T,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF TOYS AND TREATS,"16,007",0,1,9,10,$431.00,$119.43,$43.10,27.7%,$78.63
4318,8960S,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF FULL SERVICE GROOM,"16,015",1,0,1,2,$150.25,$150.25,$75.13,100.0%,$41.75
4318,8956T,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF TOYS AND TREATS,"16,015",0,1,1,2,$69.33,$20.58,$34.67,29.7%,$8.49
32,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"16,026",0,0,1,1,-$3.75,-$1.01,-$3.75,26.9%,-$1.25
32,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"16,026",0,0,2,2,$36.33,$10.49,$18.17,28.9%,$7.21
32,8961H,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,25% PETWASH OR GROOMING ADD ON,"16,026",0,2,2,4,$91.39,$61.63,$22.85,67.4%,$14.00
32,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"16,026",0,0,1,1,$12.89,-$1.35,$12.89,-10.5%,-$0.23
32,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"16,026",7,13,227,247,"$15,055.69","$3,583.04",$60.95,23.8%,"$2,623.10"
8018,8948G,10% OFF PURCHASE,10% OFF PURCHASE,"16,029",0,2,30,32,"$1,740.01",$460.82,$54.38,26.5%,$196.09
4460,8948G,10% OFF PURCHASE,10% OFF PURCHASE,"16,067",0,1,26,27,"$1,261.80",$306.40,$46.73,24.3%,$140.36
153,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"16,072",1,8,44,53,"$3,502.81",$730.57,$66.09,20.9%,$834.24
153,8961H,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,25% PETWASH OR GROOMING ADD ON,"16,072",0,1,1,2,$177.30,$162.84,$88.65,91.8%,$7.26
153,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"16,072",0,0,1,1,-$25.28,-$2.35,-$25.28,9.3%,-$3.70
153,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"16,072",7,3,53,63,"$4,191.54","$1,029.54",$66.53,24.6%,$655.42
23,8945C,10% OFF PURCHASE / 25% OFF PETWASH,10% OFF PURCHASE,"16,086",1,1,91,93,"$5,428.09","$1,294.31",$58.37,23.8%,$611.97
23,8955P,10% OFF PURCHASE / 25% OFF PETWASH,25% OFF PETWASH,"16,086",0,1,1,2,$21.00,$21.00,$10.50,100.0%,$7.00
9048,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"16,168",0,7,28,35,"$2,127.98",$609.26,$60.80,28.6%,$473.33
9048,8961H,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,25% PETWASH OR GROOMING ADD ON,"16,168",0,0,1,1,$24.00,$24.00,$24.00,100.0%,$8.00
9048,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"16,168",0,4,32,36,"$1,830.32",$511.06,$50.84,27.9%,$320.36
4361,8948G,10% OFF PURCHASE,10% OFF PURCHASE,"16,175",1,1,20,22,"$1,415.51",$364.28,$64.34,25.7%,$163.96
4344,8948G,10% OFF PURCHASE,10% OFF PURCHASE,"16,205",0,0,17,17,$679.99,$161.71,$40.00,23.8%,$77.40
4417,8960S,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF FULL SERVICE GROOM,"16,219",1,1,9,11,$889.46,$871.46,$80.86,98.0%,$225.50
4417,8956T,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF TOYS AND TREATS,"16,219",1,3,18,22,"$1,359.60",$585.78,$61.80,43.1%,$168.38
38,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"16,262",0,0,4,4,$255.09,$61.10,$63.77,24.0%,$55.03
38,8961H,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,25% PETWASH OR GROOMING ADD ON,"16,262",0,0,3,3,$148.50,$148.50,$49.50,100.0%,$8.50
38,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"16,262",0,0,1,1,$54.32,$33.01,$54.32,60.8%,-$1.20
38,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"16,262",0,3,55,58,"$2,287.40",$547.02,$39.44,23.9%,$340.81
4415,8961H,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,25% PETWASH OR GROOMING ADD ON,"16,263",0,0,1,1,$10.50,$10.50,$10.50,100.0%,$3.50
4415,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"16,263",0,0,16,16,"$1,066.93",$179.96,$66.68,16.9%,$208.80
7011,8956T,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF TOYS AND TREATS,"16,265",1,0,4,5,$278.73,$77.99,$55.75,28.0%,$50.10
4109,8959T,10% OFF FOOD & LITTER / 25% OFF PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER,"16,269",0,0,1,1,-$11.98,-$7.29,-$11.98,60.9%,-$4.00
4109,8959T,10% OFF FOOD & LITTER / 25% OFF PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER,"16,269",5,12,134,151,"$6,188.62","$1,652.97",$40.98,26.7%,"$1,117.11"
4109,8962Z,10% OFF FOOD & LITTER / 25% OFF PETWASH OR GROOMING ADD ON,25% OFF PETWASH OR GROOMING ADD ON,"16,269",0,0,1,1,$167.50,$167.50,$167.50,100.0%,$7.50
56,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"16,290",2,3,55,60,"$3,559.65",$460.04,$59.33,12.9%,$746.24
4450,8956S,SN 10% OFF / SL $8 off $40,SN 10% OFF,"16,320",0,0,1,1,-$0.03,$10.69,-$0.03,-35633.3%,-$8.40
4450,8956S,SN 10% OFF / SL $8 off $40,SN 10% OFF,"16,320",1,4,40,45,"$2,104.20",$430.12,$46.76,20.4%,$225.27
4450,8962Y,SN 10% OFF / SL $8 off $40,SL $8 off $40,"16,320",0,0,23,23,"$1,027.51",$158.03,$44.67,15.4%,$184.00
4334,8948G,10% OFF PURCHASE,10% OFF PURCHASE,"16,361",1,4,47,52,"$2,843.11",$720.17,$54.68,25.3%,$316.95
4151,8956T,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF TOYS AND TREATS,"16,395",0,0,2,2,$79.42,$23.56,$39.71,29.7%,$26.48
4433,8956S,SN 10% OFF / SL $8 off $40,SN 10% OFF,"16,401",0,0,1,1,$9.88,-$6.12,$9.88,-61.9%,-$0.88
4433,8956S,SN 10% OFF / SL $8 off $40,SN 10% OFF,"16,401",1,0,8,9,$429.22,$105.47,$47.69,24.6%,$50.39
4433,8962Y,SN 10% OFF / SL $8 off $40,SL $8 off $40,"16,401",0,0,7,7,$495.39,$91.64,$70.77,18.5%,$56.00
4020,8948G,10% OFF PURCHASE,10% OFF PURCHASE,"16,419",0,5,35,40,"$1,916.90",$519.93,$47.92,27.1%,$212.58
7014,8960S,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF FULL SERVICE GROOM,"16,428",0,0,1,1,$129.98,$127.23,$129.98,97.9%,$30.00
7014,8956T,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF TOYS AND TREATS,"16,428",0,0,10,10,$219.10,$45.44,$21.91,20.7%,$59.74
4060,8956T,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF TOYS AND TREATS,"16,431",2,1,13,16,$744.90,$234.99,$46.56,31.5%,$73.66
4090,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"16,463",7,18,144,169,"$7,958.18","$1,942.66",$47.09,24.4%,"$1,522.11"
4090,8961H,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,25% PETWASH OR GROOMING ADD ON,"16,463",0,0,5,5,$216.00,$216.00,$43.20,100.0%,$24.50
4090,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"16,463",1,1,20,22,"$1,283.62",$335.93,$58.35,26.2%,$196.52
4118,8956S,SN 10% OFF / SL $8 off $40,SN 10% OFF,"16,488",1,5,45,51,"$2,762.56",$843.06,$54.17,30.5%,$302.97
4118,8962Y,SN 10% OFF / SL $8 off $40,SL $8 off $40,"16,488",0,2,33,35,"$1,672.61",$378.53,$47.79,22.6%,$280.00
4095,8946B,$10 OFF $60,$10 OFF $60,"16,502",0,1,41,42,"$2,843.60",$696.89,$67.70,24.5%,$420.00
9056,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"16,543",0,0,1,1,-$48.35,-$24.45,-$48.35,50.6%,-$9.37
9056,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"16,543",0,0,19,19,"$1,084.01",$242.50,$57.05,22.4%,$180.96
4123,8956S,SN 10% OFF / SL $8 off $40,SN 10% OFF,"16,548",1,5,80,86,"$3,857.49",$920.79,$44.85,23.9%,$422.80
4123,8962Y,SN 10% OFF / SL $8 off $40,SL $8 off $40,"16,548",0,1,57,58,"$3,199.37",$575.82,$55.16,18.0%,$464.00
4133,8956T,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF TOYS AND TREATS,"16,562",0,2,1,3,$77.10,$32.29,$25.70,41.9%,$15.94
4170,8960S,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF FULL SERVICE GROOM,"16,583",0,1,6,7,$409.04,$391.40,$58.43,95.7%,$103.50
4170,8956T,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF TOYS AND TREATS,"16,583",0,0,8,8,$427.47,$135.57,$53.43,31.7%,$81.47
